word,translation
dzen,гнать
dzenam,гнать
dzenat,гнать
dzenu,гнать
dzina,гнать
dzinām,гнать
dzināt,гнать
dzini,гнать
dzinu,гнать
dzīs,гнать
dzīsi,гнать
dzīsiet,гнать
dzīsim,гнать
dzīšu,гнать
kliedz,кричать
kliedza,кричать
kliedzam,кричать
kliedzām,кричать
kliedzat,кричать
kliedzāt,кричать
kliedzi,кричать
kliedzu,кричать
kliegs,кричать
kliegsi,кричать
kliegsiet,кричать
kliegsim,кричать
kliegšu,кричать
koda,кусать
kodām,кусать
kodāt,кусать
kodi,кусать
kodu,кусать
kos,кусать
kosi,кусать
kosiet,кусать
kosim,кусать
košu,кусать
kož,кусать
kožam,кусать
kožat,кусать
kožu,кусать
krīt,падать
krita,падать
kritām,падать
krītam,падать
kritāt,падать
krītat,падать
kriti,падать
krīti,падать
kritīs,падать
kritīsi,падать
kritīsiet,падать
kritīsim,падать
kritīšu,падать
kritu,падать
krītu,падать
laid,"пускать, отпускать"
laida,"пускать, отпускать"
laidām,"пускать, отпускать"
laidāt,"пускать, отпускать"
laidi,"пускать, отпускать"
laidīs,"пускать, отпускать"
laidīsi,"пускать, отпускать"
laidīsiet,"пускать, отпускать"
laidīsim,"пускать, отпускать"
laidīšu,"пускать, отпускать"
laidu,"пускать, отпускать"
laiž,"пускать, отпускать"
laižam,"пускать, отпускать"
laižat,"пускать, отпускать"
laižu,"пускать, отпускать"
liedz,запрещать
liedza,запрещать
liedzam,запрещать
liedzām,запрещать
liedzat,запрещать
liedzāt,запрещать
liedzi,запрещать
liedzu,запрещать
liegs,запрещать
liegsi,запрещать
liegsiet,запрещать
liegsim,запрещать
liegšu,запрещать
plēs,"раскрывать, рвать"
plēsa,"раскрывать, рвать"
plēsām,"раскрывать, рвать"
plēsāt,"раскрывать, рвать"
plēsi,"раскрывать, рвать"
plēsīs,"раскрывать, рвать"
plēsīsi,"раскрывать, рвать"
plēsīsiet,"раскрывать, рвать"
plēsīsim,"раскрывать, рвать"
plēsīšu,"раскрывать, рвать"
plēsu,"раскрывать, рвать"
plešam,"раскрывать, рвать"
plešat,"раскрывать, рвать"
plešu,"раскрывать, рвать"
radāmies,
radās,
radāties,
radies,
radīsies,
radīsieties,
radīsimies,
radīšos,
rados,
rauj,"рвать, дёргать"
raujam,"рвать, дёргать"
raujat,"рвать, дёргать"
rauju,"рвать, дёргать"
raus,"рвать, дёргать"
rausi,"рвать, дёргать"
rausiet,"рвать, дёргать"
rausim,"рвать, дёргать"
raušu,"рвать, дёргать"
rāva,"рвать, дёргать"
rāvām,"рвать, дёргать"
rāvāt,"рвать, дёргать"
rāvi,"рвать, дёргать"
rāvu,"рвать, дёргать"
rodas,
rodies,
rodos,
sēdēja,сидеть
sēdējām,сидеть
sēdējāt,сидеть
sēdēji,сидеть
sēdēju,сидеть
sēdēs,сидеть
sēdēsi,сидеть
sēdēsiet,сидеть
sēdēsim,сидеть
sēdēšu,сидеть
sēdi,сидеть
sēž,сидеть
sēžam,сидеть
sēžat,сидеть
sēžu,сидеть
snieg,
sniegam,
sniegat,
sniegu,
sniga,
snigām,
snigāt,
snigi,
snigs,
snigsi,
snigsim,
snigsit,
snigšu,
snigu,
spieda,нажимать
spiedām,нажимать
spiedāt,нажимать
spiedi,нажимать
spiedīs,нажимать
spiedīsi,нажимать
spiedīsiet,нажимать
spiedīsim,нажимать
spiedīšu,нажимать
spiedu,нажимать
spiedz,нажимать
spiež,нажимать
spiežam,нажимать
spiežat,нажимать
spiežu,нажимать
zaga,воровать
zagām,воровать
zagāt,воровать
zagi,воровать
zags,воровать
zagsi,воровать
zagsiet,воровать
zagsim,воровать
zagšu,воровать
zagu,воровать
zodz,воровать
zog,воровать
zogam,воровать
zogat,воровать
zogu,воровать
